SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
WSCD2,ENSG00000075035,ENSP00000448047,ENST00000547525,9671,,Hs.143591,Q2TBF2
PGM5,ENSG00000154330,,,5239,IPI00852717,Hs.307835,Q15124
ZNF214,ENSG00000149050,ENSP00000278314,ENST00000278314,7761,,Hs.445849,Q9UL59
ABCB10,ENSG00000135776,ENSP00000355637,ENST00000344517,23456,,Hs.17614,Q9NRK6
RGCC,ENSG00000102760,,,28984,,Hs.507866,Q9H4X1
CTDNEP1,ENSG00000175826,,,23399,,Hs.513913,O95476
POLR2B,ENSG00000047315,,,5431,IPI00027808,Hs.602757,B4DH29
GPR155,ENSG00000163328,,,151556,,Hs.516604,Q7Z3F1
DEFB128,ENSG00000185982,ENSP00000335382,ENST00000334391,245939,,Hs.516818,Q7Z7B8
POF1B,ENSG00000124429,,,79983,,Hs.267038,Q8WVV4
HNRNPCL3,ENSG00000277058,ENSP00000478017,ENST00000617807,649330,IPI00887991,Hs.502617,B7ZW38
KIR2DS3,ENSG00000277163,ENSP00000483315,ENST00000614725,3808,IPI00001584,Hs.744266,K7QT50
DPCR1,,,,,,,
CREB3,ENSG00000107175,,,10488,,Hs.522110,O43889
UCK2,ENSG00000143179,,,7371,,Hs.458360,A0A024R912
TMEM262,ENSG00000187066,ENSP00000436355,ENST00000528029,100130348,,Hs.98170,E9PQX1
RCL1,ENSG00000120158,,,10171,,Hs.194121,Q5VZU3
USP31,ENSG00000103404,,,57478,,Hs.183817,Q70CQ4
SORCS3,ENSG00000156395,,,22986,,Hs.671950,Q86XB2
LARP7,ENSG00000174720,,,51574,,Hs.713663,Q4G0J3
PMEL,ENSG00000185664,,,6490,IPI00795159,Hs.95972,P40967
TMEM45B,ENSG00000151715,ENSP00000281441,ENST00000281441,120224,,Hs.504301,Q96B21
SYN2,ENSG00000157152,,,6854,IPI01018698,Hs.445503,A0A087X2E3
RTRAF,ENSG00000087302,ENSP00000261700,ENST00000261700,51637,,Hs.534457,Q549M8
TMEM42,ENSG00000169964,ENSP00000306564,ENST00000302392,131616,,Hs.646856,Q69YG0
CYP2S1,ENSG00000167600,,,29785,,Hs.98370,Q96SQ9
COPS7B,ENSG00000144524,,,64708,,Hs.335061,J3KQ34
MORN5,ENSG00000185681,,,254956,IPI00394817,Hs.71428,A0A0A0MTF6
TIGD6,ENSG00000164296,ENSP00000296736,ENST00000296736,81789,,Hs.169333,Q17RP2
DERL2,ENSG00000072849,,,51009,,Hs.286131,I3L3R8
GOT2,ENSG00000125166,,,2806,IPI00018206,Hs.599470,P00505
C12orf71,ENSG00000214700,ENSP00000413728,ENST00000429849,728858,IPI00794929,Hs.334003,A8MTZ7
DBX2,ENSG00000185610,ENSP00000331470,ENST00000332700,440097,,Hs.302764,Q6ZNG2
KAT6A,ENSG00000083168,,,7994,,Hs.491577,A5PLL3
EEF1A1P5,,,,158078,,,
JRK,ENSG00000234616,ENSP00000485390,ENST00000614134,8629,,Hs.535903,D3DWI5
MCUR1,ENSG00000050393,,,63933,,Hs.214043,Q96AQ8
HIF1AN,ENSG00000166135,,,55662,,Hs.500788,Q9NWT6
WDR38,ENSG00000136918,ENSP00000362677,ENST00000373574,401551,,Hs.343383,B9EK65
CMAHP,ENSG00000168405,,,8418,,Hs.484918,
HMGB1P1,,,,10357,,,
EEF1E1-BLOC1S5,ENSG00000265818,ENSP00000380597,ENST00000397456,100526837,,Hs.719272,
ZNF43,ENSG00000198521,ENSP00000485470,ENST00000624335,7594,,Hs.534365,A0A024R7P7
RNPEPL1,ENSG00000142327,,,57140,,Hs.5345,Q9HAU8
MB21D2,ENSG00000180611,ENSP00000376246,ENST00000392452,151963,,Hs.151443,Q8IYB1
SNX12,ENSG00000147164,,,29934,,Hs.260750,Q3SYF1
XPO6,ENSG00000169180,,,23214,,Hs.460468,Q96QU8
SLC25A24,ENSG00000085491,ENSP00000491572,ENST00000640416,29957,,Hs.656870,Q6NUK1
FASTKD3,ENSG00000124279,,,79072,,Hs.653162,Q14CZ7
CELF2-AS1,ENSG00000181800,,,414196,,Hs.729598,
unassigned,,,,,,,
PPM1A,ENSG00000100614,,,5494,IPI00216196,Hs.130036,A0A024R6A5
CORIN,ENSG00000145244,,,10699,,Hs.518618,A0A087X1D5
CMTM4,ENSG00000183723,,,146223,,Hs.643961,Q8IZR5
KIF18A,ENSG00000121621,ENSP00000263181,ENST00000263181,81930,,Hs.301052,Q8NI77
TEX29,ENSG00000153495,,,121793,,Hs.210677,Q8N6K0
DSG1,ENSG00000134760,ENSP00000257192,ENST00000257192,1828,,Hs.2633,Q02413
SRRM5,ENSG00000226763,ENSP00000476253,ENST00000607544,100170229,,Hs.722032,B3KS81
TBX10,ENSG00000167800,ENSP00000335191,ENST00000335385,347853,,Hs.454480,O75333
HS3ST3A1,ENSG00000153976,ENSP00000284110,ENST00000284110,9955,,Hs.462270,Q9Y663
PUS7L,ENSG00000129317,,,83448,,Hs.23554,Q9H0K6
EIF4ENIF1,ENSG00000184708,,,56478,,Hs.517559,A0A024R1K0
IL17D,ENSG00000172458,ENSP00000479852,ENST00000498088,53342,IPI00152038,Hs.655142,Q8TAD2
TAAR2,ENSG00000146378,ENSP00000275191,ENST00000275191,9287,,Hs.272382,Q9P1P5
PEX5,ENSG00000139197,,,5830,IPI00032931,Hs.567327,A0A0S2Z480
BRMS1L,ENSG00000100916,,,84312,,Hs.525299,Q5PSV4
PIWIL2,ENSG00000197181,,,55124,,Hs.614809,Q8TC59
FAM172BP,,,,131909,,Hs.518125,
MAPKAP1,ENSG00000119487,,,79109,,Hs.495138,Q9BPZ7
PIGU,ENSG00000101464,,,128869,,Hs.253319,Q9H490
OR5H15,ENSG00000233412,ENSP00000493082,ENST00000641450,403274,,Hs.554713,A6NDH6
