"GID","UNIPROT"
"NCU01963","Q7SE95"
"NCU01174","Q7S801"
"NCU01377","Q1K705"
"NCU03013","V5IRR7"
"NCU02041","Q7SF37"
"NCU08171","Q7S4H9"
"NCU00957","Q7SGG5"
"NCU05667","Q7SAW7"
"NCU09263","Q7SF47"
"NCU07776","Q1K686"
"NCU03530","Q1K5D9"
"NCU07277","Q7S939"
"NCU01480","Q7RXV2"
"NCU03186","Q7SGY2"
"NCU02147","Q7SER9"
"NCU02967","Q1K952"
"NCU04409","Q7RZ65"
"NCU08603","Q7SDF9"
"NCU11426","Q01317"
"NCU04421","V5IQ95"
"NCU02139","Q7SE37"
"NCU04411","Q7RZ63"
"NCU05129","F5HB18"
"NCU17239","V5IMM0"
"NCU04121","Q1K7M9"
"NCU09688","Q7RVT3"
"NCU03440","Q1K5B2"
"NCU09673","Q1K6R0"
"NCU07989","Q7SAQ1"
"NCU06569","Q7S9G9"
"NCU04652","Q1K6G3"
"NCU08873","Q1K6K7"
"NCU07175","V5ILS7"
"NCU05232","Q7S8H6"
"NCU09721","Q7S2Q5"
"NCU10618","A7UWQ5"
"NCU09461","Q7SC18"
"NCU03839","Q7S742"
"NCU00481","Q7RWU6"
"NCU06339","Q7S9W7"
"NCU08052","Q7SGN1"
"NCU01957","Q7SDY0"
"NCU00972","Q7SGF0"
"NCU05965","Q7S1V6"
"NCU08811","Q7S8S4"
"NCU02830","Q7SCI6"
"NCU02333","P33280"
"NCU02084","Q7SEY0"
"AAP_NEUCR",
"NCU10468","A7UWD5"
"NCU05168","Q7S8G5"
"NCU01803","Q1K545"
"NCU08162","Q7S4I8"
"NCU02639","V5IP94"
"NCU08195","Q7S3P2"
"NCU05891","Q7S517"
"NCU03756","Q1K7B8"
"NCU09116","V5IRM1"
"NCU08275","Q7S8J2"
"NCU02028","Q1K921"
"NCU03050","V5IQ94"
"NCU08511","Q7SC90"
"NCU05721","Q7SB91"
"NCU08967","Q7S7E7"
"NCU07197","Q1K5U8"
"NCU01852","V5IP12"
"NCU02800","Q7SEL2"
"NCU05616","Q7S5V0"
"NCU01838","V5IPE4"
"NCU09798","Q7S5S3"
"NCU09409","Q7S283"
"NCU06041","Q7RV09"
"NCU01345","V5IP72"
"NCU05597","Q7S6W6"
"NCU06993","Q7SAF7"
"NCU01757","Q1K5R2"
"NCU04303","Q1K728"
"NCU07300","Q7S968"
"NCU06457","Q7RYW2"
"NCU06866","Q7S0K1"
"NCU08411","V5IPP8"
"NCU02543","Q7SHS1"
"NCU07941","Q7S9X7"
"NCU00554","Q7SF95"
"NCU02956","Q7SH13"
"NCU00338","Q7RZM6"
"NCU03168","Q7SEW4"
"NCU09350","Q7S2N8"
"NCU04118","Q1K7N1"
"NCU17088","V5ILZ9"
"NCU00122","Q7RYK7"
"NCU04269","V5INF9"
"NCU00915","Q7SFD2"
"NCU02585","Q7SHN3"
"NCU07082","Q7S6E2"
"NCU03147","Q7SDU5"
"NCU04077","Q7RZE3"
"NCU11283","A7UWE6"
"NCU05893","Q7S515"
"NCU07988","Q7SAQ2"
"NCU06717","Q870U4"
"NCU06309","Q7SAC2"
"NCU01751","Q1K5R5"
"NCU08920","Q1K670"
"NCU10009","Q7S0J7"
"NCU02670","Q7SH59"
"NCU09745","Q7SEI0"
"NCU02658","Q7SH71"
"NCU04507","Q7RY56"
"NCU06783","V5IN52"
"NCU00629","Q7SI23"
"NCU03591","Q7S770"
"NCU05427","V5IN31"
"NCU04578","Q1K659"
"NCU07519","U9W8Y3"
"NCU03337","V5IPS9"
"NCU11409","A7UXD4"
"NCU08290","Q7SA95"
"NCU00077","Q7RX73"
"NCU09318","Q7SDF3"
"NCU00428","Q7RXT1"
"NCU01365","Q1K6N2"
"NCU04117","F5HH04"
"NCU06735","Q1K8U7"
"NCU09076","Q7RW10"
"NCU05802","Q7S5P1"
"NCU07670","Q1K8F7"
"NCU07712","Q7S9J4"
"NCU07839","Q7SBC6"
"NCU05782","Q7S5R1"
"NCU04439","Q7RZ35"
"NCU01160","Q8X0X2"
"NCU06520","Q7S873"
"NCU06418","Q7RYZ7"
"NCU07070","Q7S6F3"
"NCU01369","Q9P6U9"
"NCU06149","Q7S5D9"
"NCU08928","Q1K6T1"
"NCU06318","Q7SAB3"
"NCU11175","P0C2N8"
"NCU07420","Q7RV88"
"NCU01234","Q9P735"
"NCU09349","Q7S2N9"
"NCU04041","Q7RZH4"
"NCU06246","Q7SBR1"
"NCU01104","Q7S806"
"NCU00919","Q7SFC8"
"NCU04504","Q7RY59"
"NCU03380","Q873H9"
"NCU02513","Q7SHU9"
"NCU05160","Q7S8H3"
"NCU09320","Q7SDF1"
"NCM022",
"NCU00502","Q7SE71"
"NCU01606","Q9P602"
"NCU16027","Q12635"
"NCU02250","P00842"
"NCM020",
"NCU02514","P37211"
"NCU05430","P23704"
"NCU00385","P56525"
"NCU00636","Q7SI16"
"NCU05220","Q7S8I6"
"NCU00644","Q7SI08"
"NCU09119","Q7S2M9"
"NCU03199","Q7SGX0"
"NCU06190","Q7SBI2"
"NCU02282","Q7S586"
"NCU02057","V5IQK0"
"NCU06267","U9W335"
"NCU09998","Q7S055"
"NCU04840","Q7S6J5"
"NCU08766","Q872W1"
"NCU03441","Q96U88"
"NCU08926","Q871L5"
"NCU07504","Q7SG38"
"NCU01955","Q7SDY2"
"NCU04662",
"NCU01545","Q8WZY7"
"NCU02422","Q7S4D7"
"NCU00589","Q7SI62"
"NCU09663","Q7S260"
"NCU16454","V5IQ80"
"NCU07035","Q7S9A1"
"NCU01220","Q1K829"
"NCU02599","Q7SG21"
"NCU04637","Q7S3B9"
"NCU01068","Q1K8A1"
"NCU11369","V5INV6"
"NCU02463","Q7SG99"
"NCU10028","Q7S0F0"
"NCU00097","Q7RYN1"
"NCU07139","Q7S6B3"
"NCU03122","V5IPG6"
"NCU00671","Q7SHY2"
"NCU03276","V5IQR2"
"NCU01086","Q7S811"
"NCU08128","Q7S4K3"
"NCU10285","A7UXE2"
"NCU06327","V5IQ66"
"NCU08874","Q7S793"
"NCU09791","Q7S602"
"NCU07261","Q7S954"
"NCU05622","Q7S5Y4"
"NCU04013","Q1K615"
"NCU04952","Q7S3R5"
"NCU00642","Q7SI10"
"NCU05956","Q7S1W5"
"NCU04623","Q1K640"
"NCU00810","Q7SEC4"
"NCU03641","V5IMM3"
"NCU05577","Q7S6Y6"
"NCU08755","Q7RWP2"
"NCU08054","Q7SGM9"
"NCU00130","U9W8B8"
"NCU00937","Q7SFB0"
"NCU10852","V5IPM4"
"NCU00715","Q7SET1"
"NCU07442","Q7SF12"
"NCU08669","Q7S8W6"
"NCU03032","Q7SGY5"
"NCU00890","Q7SFE1"
"NCU04726","Q7S6H8"
"NCU01273","V5ILB7"
"NCU05924","Q7S0Y0"
"NCU04997","Q7RW51"
"NCU08189","Q7S3P8"
"NCU07130","Q7S6C2"
"NCU00709","Q7SET7"
"NCU09923","F5HDC6"
"NCU09652","Q7S271"
"NCU05185","Q7S8E0"
"NCU09497","Q7S008"
"NCU00585","P37295"
"NCU02629","Q7SDI1"
"NCU05042","Q7RX46"
"NCU05516","Q7S6S3"
"NCU03979","Q7RXK2"
"NCU08293","Q7SA92"
"NCU08333","Q7SGS9"
"NCU09924","Q7RVR3"
"NCU02108","Q7SDM5"
"NCU00792","Q7SFT9"
"NCU04292","Q1K779"
"NCU04754","Q7S699"
"NCU04110","Q8NIW7"
"NCU03096","Q7SCZ1"
"NCU08809","Q7S8S6"
"NCU08423","V5IPQ4"
"NCU03906","F5H9U3"
"NCU04838","Q7S6J7"
"NCU06579","Q7S8N5"
"NCU04511","Q7RY52"
"NCU08907","Q1K678"
"NCU08323","Q7SA65"
"NCU00805","Q7SCT7"
"NCU00223","U9W3A7"
"NCU01994","V5IQK5"
"NCU08055","Q7SGM8"
"NCU07379","V5IQW8"
"NCU03877","V5IM43"
"NCU02833","Q7RUV0"
"NCU02244","Q7S435"
"NCU03184","Q7SEU8"
"NCU03421","Q1K4M8"
"NCU06503","U9W2Z9"
"NCU05242","V5IQQ6"
"NCU03206","Q7SGW3"
"NCU04022","Q1K608"
"NCU02364","Q7S4W2"
"NCU02203","Q7S469"
"NCU04673","Q1K6F1"
"NCU03043","Q7SDG5"
"NCU09496","Q7S009"
"NCU01640","Q1K4S1"
"NCU04179","Q7RVU3"
"NCU05064","Q7RXC0"
"NCU02621","Q7SFZ9"
"NCU00038","Q7RY67"
"NCU05285","Q7S912"
"NCU00416","Q7RYP6"
"NCU07952","Q7S932"
"NCU02853","Q7SDQ3"
"NCU04855","Q7S389"
"NCU02693","Q7SH36"
"NCU06402","V5INY4"
"NCU05294","Q7S904"
"NCU01243","Q7S783"
"NCU07705","V5INA3"
"NCU05996","Q7S2G0"
"NCU02576","V5IP62"
"NCU09804","Q7SDJ7"
"NCU00155","Q7RXQ3"
"NCU09033","Q7S2U2"
"NCU16793","V5IQ51"
"NCU02752","V5IQW3"
"NCU08658","Q7S8P5"
"NCU00808","Q7SEC6"
"NCU16599","V5IQC3"
"NCU09549","Q7S2B2"
"NCU02173","Q7SE10"
"NCU04156","Q92254"
"NCU06366","V5IQ54"
"NCU05999","Q7S2F7"
"NCU03637","Q7RVV7"
"NCU11314","U9W842"
"NCU09123","V5IQT6"
"NCU08633","Q7SFI8"
"NCU07935","Q7S9Y3"
"NCU07298","Q7S970"
"NCU07899","Q7SA18"
"NCU01504","Q1K5K7"
"NCU03833","P87072"
"NCU08941","Q1K6S1"
"NCU06177","Q7SBJ3"
"NCU02283","Q7RVS8"
"NCU02762","Q7SCM1"
"NCU06703","Q7S7M6"
"NCU01564","Q1K4X5"
"NCU00326","U9WGW9"
"NCU05360","Q1K8L3"
"NCU07075","V5ILA0"
"NCU04736","Q1K6I5"
"NCU05154","Q1K588"
"NCU03305","Q1K909"
"NCU03292","Q1K905"
"NCU05046","Q1K506"
"NCU07966","Q7S919"
"NCU05895","Q7S513"
"NCU09043","Q7S2T2"
"NCU04120","P61859"
"NCU00171","Q7RXB6"
"NCU03750","Q7S7P7"
"NCU03355","Q1K520"
"NCU01151","Q7S7N5"
"NCU00317","Q7RZP7"
"NCU09265","Q7SF45"
"NCU01166","Q01386"
"NCU06240","Q3Y3Z2"
"NCU06864","Q7S0C3"
"NCU00237","Q7RZX4"
"NCU04187","Q1K7E2"
"NCU02336","Q7S4S9"
"NCU06430","Q7RYY5"
"NCU09875","Q7S239"
"NCU05123","V5IMB6"
"NCU02119","Q7SCY5"
"NCU07732","P22572"
"NCU02677","Q7SH52"
"NCU05153","Q1K589"
"NCU04778","Q7S631"
"NCU05653","Q7S607"
"NCU08133","Q7S4J8"
"NCU01103","Q1K876"
"NCU04071","P38677"
"NCU03978","Q7RXK3"
"NCU01839","Q1K571"
"NCU01231","Q1K823"
"NCU08752","Q7RWP5"
"NCU09026","Q7S2U9"
"NCU00761","V5IQ24"
"NCU09575","Q7S4M5"
"NCU02679","Q7SH50"
"NCU06573","Q7S844"
"NCU09656","Q7S267"
"NCU06720","Q1K6X1"
"NCU05980","Q7S216"
"NCU07536","Q7S312"
"NCU11129","A7UWJ0"
"NCU00477","Q7RXW8"
"NCU00187","Q7RXA0"
"NCU01611","Q1K558"
"NCU08002","Q7SAN8"
"NCU07263","Q7S952"
"NCU07008","Q7S860"
"NCU11424","A7UXI1"
"NCU08038","Q7SAK3"
"NCU04005","V5IKR9"
"NCU00685","V5IRD9"
"NCU03124","Q8TG13"
"NCU05536","Q7S6Q4"
"NCU05485","Q8TG12"
"NCU02754","Q8TG11"
"NCU06023","P05195"
"NCU05730","Q7SB82"
"NCU03965","V5IN97"
"NCU08791","Q9C168"
"NCU05169","Q7S8G4"
"NCU00355","Q9C169"
"NCU05770","Q8X182"
"NCU00055","Q7RW43"
"NCU04072","Q7RZE7"
"NCU01979","Q7SE81"
"NCU07919","Q7S9Z9"
"NCU03784","Q1K799"
"NCU04818","Q7S6L7"
"NCU06699","Q1K739"
"NCU09368","V5IPP1"
"NCU05157","Q1K585"
"NCU01254","Q7S725"
"NCU07709","Q7S9J7"
"NCU10143","A7UWZ1"
"NCU04898","Q7S1D7"
"NCU02017","Q7SFL5"
"NCU03033","Q7SGY4"
"NCU09248","V5IQF3"
"NCU09894","Q7S205"
"NCU11307","A7UWP0"
"NCU07418","Q7S1F5"
"NCU03048","V5IRR6"
"NCU03855","V5IKZ2"
