FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0040514,FBgn0040514,FBpp0291265,FBtr0302055,3354995,CG17169,Dm.31388,Q7PLW5
FBgn0032480,FBgn0032480,FBpp0080019,FBtr0080438,34714,Edem2,Dm.13510,M9PCV1
FBgn0032471,FBgn0032471,FBpp0080012,FBtr0080431,34703,CG5122,Dm.13508,Q9VK40
FBgn0250788,FBgn0250788,FBpp0074228,FBtr0074454,32746,beta-Spec,Dm.7022,M9PF16
CG41378,,,,,,,
FBgn0051068,FBgn0051068,FBpp0292603,FBtr0303570,318578,CG31068,Dm.16401,A0A0B4JD08
FBgn0034008,FBgn0034008,FBpp0086524,FBtr0087392,36696,CG8152,Dm.12835,B5RIL2
FBgn0037016,FBgn0037016,FBpp0077903,FBtr0078245,40289,CG13252,Dm.1018,Q9VPC4
FBgn0016013,FBgn0016013,FBpp0073134,FBtr0073278,45577,Faa,Dm.1793,Q9VZI8
FBgn0034229,FBgn0034229,FBpp0086089,FBtr0086933,36973,CG4847,Dm.4677,Q7K5N8
FBgn0037577,FBgn0037577,FBpp0081327,FBtr0081837,40992,CG7443,,A0A0B4LGW4
FBgn0030995,FBgn0030995,FBpp0074465,FBtr0074696,32907,CG7914,Dm.25396,Q9VWK8
FBgn0030858,FBgn0030858,FBpp0074254,FBtr0074480,32745,IntS2,Dm.17341,Q9VX31
FBgn0053147,FBgn0053147,FBpp0311723,FBtr0345672,37161,Hs3st-A,Dm.30211,Q8MRE7
FBgn0034402,FBgn0034402,FBpp0085801,FBtr0086619,37178,CG15084,Dm.693,Q7K0F0
FBgn0010438,FBgn0010438,FBpp0082729,FBtr0083277,41968,mtSSB,Dm.5334,P54622
FBgn0031818,FBgn0031818,FBpp0292321,FBtr0303229,33904,CG9536,Dm.6442,Q9VMD2
FBgn0052572,FBgn0052572,FBpp0074098,FBtr0074324,32657,CG32572,,Q9VXB8
FBgn0041229,FBgn0041229,FBpp0083531,FBtr0084133,42568,Gr93a,Dm.6867,Q9VD76
FBgn0030195,FBgn0030195,FBpp0071380,FBtr0071445,31966,CG2898,Dm.33700,Q9W2V8
FBgn0034399,FBgn0034399,FBpp0085800,FBtr0086618,37175,CG15083,Dm.5794,Q7JYX3
FBgn0032585,FBgn0032585,FBpp0080422,FBtr0080865,34983,CG4580,,Q9VJK5
FBgn0250841,FBgn0250841,FBpp0077480,FBtr0077803,59226,CG17242,,Q9VQA3
FBgn0061515,FBgn0061515,FBpp0293215,FBtr0304673,39554,endos,Dm.12984,Q9VUB8
FBgn0034361,FBgn0034361,FBpp0085893,FBtr0086714,37136,mRpS28,Dm.20392,A1ZBA5
FBgn0050106,FBgn0050106,FBpp0086052,FBtr0086893,37004,CCHa1-R,Dm.26950,A1ZAX0
FBgn0267376,FBgn0267376,FBpp0081768,FBtr0082291,41309,SelR,Dm.1144,A0A1B2AJD1
FBgn0003248,FBgn0003248,FBpp0083111,FBtr0083697,42261,Rh2,Dm.2404,P08099
FBgn0036438,FBgn0036438,FBpp0075435,FBtr0075685,39599,goddard,Dm.7459,Q9VUG4
FBgn0034085,FBgn0034085,FBpp0288423,FBtr0289985,36790,Ptp52F,Dm.23927,A1ZAB3
FBgn0036349,FBgn0036349,FBpp0075576,FBtr0075840,39496,SNCF,Dm.5920,Q9VU59
FBgn0031074,FBgn0031074,FBpp0074575,FBtr0074806,32997,SkpE,,Q9VWC3
FBgn0037841,FBgn0037841,FBpp0112128,FBtr0113216,41303,CG4565,Dm.35721,Q9VGW0
FBgn0032436,FBgn0032436,FBpp0079964,FBtr0080382,34663,CG5418,Dm.26802,Q9VK81
FBgn0052413,FBgn0052413,FBpp0293798,FBtr0305274,318018,CG32413,,Q8I936
FBgn0039198,FBgn0039198,FBpp0306938,FBtr0334918,42915,CG5768,Dm.1317,Q9VC77
FBgn0039214,FBgn0039214,FBpp0303340,FBtr0330308,42935,puf,Dm.5555,A0A0B4KHF3
FBgn0038547,FBgn0038547,FBpp0312514,FBtr0347216,42141,CG17803,Dm.27329,Q9VEF4
FBgn0028570,FBgn0028570,FBpp0303868,FBtr0331451,33412,robl22E,Dm.12073,Q9VQA6
FBgn0051288,FBgn0051288,FBpp0084234,FBtr0084860,318664,CG31288,Dm.23792,Q8IMT4
FBgn0037884,FBgn0037884,FBpp0081840,FBtr0082364,41353,Arfip,Dm.11644,Q9VGQ8
FBgn0261266,FBgn0261266,FBpp0079900,FBtr0080316,34609,zuc,Dm.11087,Q9VKD7
FBgn0040837,FBgn0040837,FBpp0271910,FBtr0273402,50310,CG8620,Dm.15526,B7Z0C5
FBgn0040382,FBgn0040382,FBpp0070131,FBtr0070136,31021,CG5273,Dm.11009,Q9W5D6
