SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000002725,HIM1,YDR317W,YDR317W_mRNA,YDR317W_mRNA,851915,Q06674
S000005415,PSH1,YOL054W,YOL054W_mRNA,YOL054W_mRNA,854102,Q12161
S000005987,RGL1,YPL066W,YPL066W_mRNA,YPL066W_mRNA,856039,Q12194
S000003319,PDC6,YGR087C,YGR087C_mRNA,YGR087C_mRNA,852978,P26263
S000006295,NVJ2,YPR091C,YPR091C_mRNA,YPR091C_mRNA,856207,Q06833
S000004363,ROM2,YLR371W,YLR371W_mRNA,YLR371W_mRNA,851086,P51862
S000007357,gag protein,,,,855816,P0CX70
S000002752,,,,,851945,
S000005669,THI80,YOR143C,YOR143C_mRNA,YOR143C_mRNA,854314,P35202
S000005867,A43,YOR340C,YOR340C_mRNA,YOR340C_mRNA,854518,P46669
S000004462,,YML003W,YML003W_mRNA,YML003W_mRNA,855010,P0CF16
S000005071,FAR11,YNL127W,YNL127W_mRNA,YNL127W_mRNA,855596,P53917
S000028565,,YLR154C-H,YLR154C-H_mRNA,YLR154C-H_mRNA,1466414,P0CY02
S000006010,RLM1,YPL089C,YPL089C_mRNA,YPL089C_mRNA,856016,Q12224
S000003498,,YGR266W,YGR266W_mRNA,YGR266W_mRNA,853182,P53326
S000003117,,,,,852727,
S000002645,MRPL7,YDR237W,YDR237W_mRNA,YDR237W_mRNA,851823,P36519
S000000997,,,,,856385,
S000028846,,,,,,
S000005357,AIF1,YNR074C,YNR074C_mRNA,YNR074C_mRNA,855811,P52923
S000004170,ETH10,YLR180W,YLR180W_mRNA,YLR180W_mRNA,850877,P10659
S000000990,,,,,856938,
S000002792,ATO3,YDR384C,YDR384C_mRNA,YDR384C_mRNA,851992,Q12359
S000000001,FUN24,YAL001C,YAL001C_mRNA,YAL001C_mRNA,851262,P34111
S000006089,MRX4,YPL168W,YPL168W_mRNA,YPL168W_mRNA,855935,Q12467
S000004005,BRE2,YLR015W,YLR015W_mRNA,YLR015W_mRNA,850702,P43132
S000006203,PAU22,YOR394W,YOR394W_mRNA,YOR394W_mRNA,855847,P0CE86
S000000084,FLO1,YAR050W,YAR050W_mRNA,YAR050W_mRNA,851289,P32768
S000001663,L17A,YKL180W,YKL180W_mRNA,YKL180W_mRNA,853674,P05740
S000004339,KAP95,YLR347C,YLR347C_mRNA,YLR347C_mRNA,851061,Q06142
S000000337,HSL7,YBR133C,YBR133C_mRNA,YBR133C_mRNA,852431,P38274
S000000859,HIG1,YER057C,YER057C_mRNA,YER057C_mRNA,856785,P40037
S000003373,VPS62,YGR141W,YGR141W_mRNA,YGR141W_mRNA,853042,P53285
S000002347,PPH2,YDL188C,YDL188C_mRNA,YDL188C_mRNA,851339,P23595
S000003776,,YJR015W,YJR015W_mRNA,YJR015W_mRNA,853472,P47090
S000005140,SLZ1,YNL196C,YNL196C_mRNA,YNL196C_mRNA,855525,P40167
S000028561,,YLR154C-G,YLR154C-G_mRNA,YLR154C-G_mRNA,1466409,Q3E813
S000000819,AAA family ATPase AFG3,YER017C,YER017C_mRNA,YER017C_mRNA,856737,P39925
S000002865,E3 ubiquitin-protein ligase TOM1,YDR457W,YDR457W_mRNA,YDR457W_mRNA,852068,Q03280
S000004424,IMD3,YLR432W,YLR432W_mRNA,YLR432W_mRNA,851152,P50095
S000004417,Rho family guanine nucleotide exchange factor TUS1,YLR425W,YLR425W_mRNA,YLR425W_mRNA,851145,Q06412
S000006320,RRG8,YPR116W,YPR116W_mRNA,YPR116W_mRNA,856232,Q06109
S000001954,MEI4,YER044C-A,YER044C-A_mRNA,YER044C-A_mRNA,856768,P29467
S000003604,S-formylglutathione hydrolase,YJL068C,YJL068C_mRNA,YJL068C_mRNA,853377,P40363
S000006394,DNA-directed RNA polymerase III subunit C82,YPR190C,YPR190C_mRNA,YPR190C_mRNA,856320,P32349
S000001605,SRP21,YKL122C,YKL122C_mRNA,YKL122C_mRNA,853737,P32342
S000003511,SCW4,YGR279C,YGR279C_mRNA,YGR279C_mRNA,853196,P53334
S000003681,SFH5,YJL145W,YJL145W_mRNA,YJL145W_mRNA,853296,P47008
S000028422,TAR1,YLR154W-C,YLR154W-C_mRNA,YLR154W-C_mRNA,850849,Q8TGM6
S000003994,THI73,YLR004C,YLR004C_mRNA,YLR004C_mRNA,850690,Q07904
S000004799,,YMR187C,YMR187C_mRNA,YMR187C_mRNA,855225,Q03236
S000005482,SBS1,YOL122C,YOL122C_mRNA,YOL122C_mRNA,854027,P38925
S000002818,STE14,YDR410C,YDR410C_mRNA,YDR410C_mRNA,852019,P32584
S000005821,UAF30,YOR295W,YOR295W_mRNA,YOR295W_mRNA,854470,Q08747
S000005484,TRM11,YOL124C,YOL124C_mRNA,YOL124C_mRNA,853996,Q12463
S000004098,,YLR108C,YLR108C_mRNA,YLR108C_mRNA,850798,Q12259
S000001378,HIS5,YIL116W,YIL116W_mRNA,YIL116W_mRNA,854690,P07172
S000005438,AVO1,YOL078W,YOL078W_mRNA,YOL078W_mRNA,854076,Q08236
S000003638,MEF2,YJL102W,YJL102W_mRNA,YJL102W_mRNA,853342,P39677
S000000701,PAU3,YCR104W,YCR104W_mRNA,YCR104W_mRNA,850468,P25610
S000005059,,YNL115C,YNL115C_mRNA,YNL115C_mRNA,855608,P53925
S000001846,EMP47,YFL048C,YFL048C_mRNA,YFL048C_mRNA,850496,P43555
S000003105,SEC27,YGL137W,YGL137W_mRNA,YGL137W_mRNA,852740,P41811
S000000919,L14,YBL087C,YBL087C_mRNA,YBL087C_mRNA,856853,P0CX41
S000005724,BFR1,YOR198C,YOR198C_mRNA,YOR198C_mRNA,854373,P38934
S000007228,SCS22,YBL091C-A,YBL091C-A_mRNA,YBL091C-A_mRNA,852186,Q6Q595
S000004877,CUE1,YMR264W,YMR264W_mRNA,YMR264W_mRNA,855306,P38428
S000028574,,YMR030W-A,YMR030W-A_mRNA,YMR030W-A_mRNA,1466499,Q3E760
S000005320,RSM19,YNR037C,YNR037C_mRNA,YNR037C_mRNA,855773,P53733
S000003143,COM1,YGL175C,YGL175C_mRNA,YGL175C_mRNA,852700,P46946
S000001116,QNS1,YHR074W,YHR074W_mRNA,YHR074W_mRNA,856473,P38795
S000005485,TRM13,YOL125W,YOL125W_mRNA,YOL125W_mRNA,853995,Q12383
S000003384,BUD1,YGR152C,YGR152C_mRNA,YGR152C_mRNA,853056,P13856
S000001088,INM1,YHR046C,YHR046C_mRNA,YHR046C_mRNA,856442,P38710
S000004826,CEF1,YMR213W,YMR213W_mRNA,YMR213W_mRNA,855253,Q03654
S000000399,CAC3,YBR195C,YBR195C_mRNA,YBR195C_mRNA,852494,P13712
S000028557,,YJR151W-A,YJR151W-A_mRNA,YJR151W-A_mRNA,1466471,Q3E775
S000004964,,YNL019C,YNL019C_mRNA,YNL019C_mRNA,855712,P53975
S000003890,EFM3,YJR129C,YJR129C_mRNA,YJR129C_mRNA,853593,P47163
S000003506,KAT4,YGR274C,YGR274C_mRNA,YGR274C_mRNA,853191,P46677
S000003958,GRC3,YLL035W,YLL035W_mRNA,YLL035W_mRNA,850624,Q07845
S000005854,SNAP receptor SNC2,YOR327C,YOR327C_mRNA,YOR327C_mRNA,854505,P33328
S000000743,GTT3,YEL017W,YEL017W_mRNA,YEL017W_mRNA,856698,P39996
S000000461,POP4,YBR257W,YBR257W_mRNA,YBR257W_mRNA,852560,P38336
S000005870,,,,,854521,
S000000741,DCP3,YEL015W,YEL015W_mRNA,YEL015W_mRNA,856700,P39998
S000004376,ELP1,YLR384C,YLR384C_mRNA,YLR384C_mRNA,851100,Q06706
S000003375,SKN1,YGR143W,YGR143W_mRNA,YGR143W_mRNA,853045,P33336
S000005119,NOP13,YNL175C,YNL175C_mRNA,YNL175C_mRNA,855547,P53883
S000003991,,YLR001C,YLR001C_mRNA,YLR001C_mRNA,850687,Q07895
S000002745,MRPS28,YDR337W,YDR337W_mRNA,YDR337W_mRNA,851937,P21771
S000002349,UFD2,YDL190C,YDL190C_mRNA,YDL190C_mRNA,851337,P54860
S000001484,MET14,YKL001C,YKL001C_mRNA,YKL001C_mRNA,853869,Q02196
S000004801,GCV2,YMR189W,YMR189W_mRNA,YMR189W_mRNA,855227,P49095
S000000502,MAL31,YBR298C,YBR298C_mRNA,YBR298C_mRNA,852601,P38156
S000004629,putative methyltransferase,YMR027W,YMR027W_mRNA,YMR027W_mRNA,855042,Q04371
S000004133,DPH6,YLR143W,YLR143W_mRNA,YLR143W_mRNA,850835,Q12429
S000005590,YNG1,YOR064C,YOR064C_mRNA,YOR064C_mRNA,854230,Q08465
S000000770,IES6,YEL044W,YEL044W_mRNA,YEL044W_mRNA,856667,P32617
S000005102,PGA1,YNL158W,YNL158W_mRNA,YNL158W_mRNA,855564,P53896
S000000434,OM14,YBR230C,YBR230C_mRNA,YBR230C_mRNA,852531,P38325
S000000937,,,,,856874,
S000001125,FMP20,YHR083W,YHR083W_mRNA,YHR083W_mRNA,856483,P14693
S000002325,FAP7,YDL166C,YDL166C_mRNA,YDL166C_mRNA,851388,Q12055
S000006173,YAH1,YPL252C,YPL252C_mRNA,YPL252C_mRNA,855824,Q12184
S000003247,putative hydrolase,YGR015C,YGR015C_mRNA,YGR015C_mRNA,852898,P53208
S000002939,CAB1,YDR531W,YDR531W_mRNA,YDR531W_mRNA,852144,Q04430
S000007385,gag-pol fusion protein,,,,855672,Q99337
S000028516,,YOR072W-B,YOR072W-B_mRNA,YOR072W-B_mRNA,1466483,Q3E832
S000000459,MTC4,YBR255W,YBR255W_mRNA,YBR255W_mRNA,852557,P38335
S000028824,,,,,,
S000028542,,YDR246W-A,YDR246W-A_mRNA,YDR246W-A_mRNA,1466436,Q3E763
S000002340,ATPase inhibitor,YDL181W,YDL181W_mRNA,YDL181W_mRNA,851347,P01097
S000004873,TIF11,YMR260C,YMR260C_mRNA,YMR260C_mRNA,855302,P38912
S000006055,ODC1,YPL134C,YPL134C_mRNA,YPL134C_mRNA,855969,Q03028
S000004305,SPH1,,,,851023,Q06160
S000005389,,YOL029C,YOL029C_mRNA,YOL029C_mRNA,854128,Q08187
S000005346,,YNR063W,YNR063W_mRNA,YNR063W_mRNA,855800,P53749
S000002714,,YDR306C,YDR306C_mRNA,YDR306C_mRNA,851900,Q06640
S000004527,MFT1,YML062C,YML062C_mRNA,YML062C_mRNA,854940,P33441
S000000117,HAP3,YBL021C,YBL021C_mRNA,YBL021C_mRNA,852260,P13434
S000003706,ASG7,YJL170C,YJL170C_mRNA,YJL170C_mRNA,853269,P46993
S000004221,BNA5,YLR231C,YLR231C_mRNA,YLR231C_mRNA,850933,Q05979
S000006266,FCY1,YPR062W,YPR062W_mRNA,YPR062W_mRNA,856175,Q12178
S000028764,,YER188C-A,YER188C-A_mRNA,YER188C-A_mRNA,1466538,P0C0V2
S000004520,IMD4,YML056C,YML056C_mRNA,YML056C_mRNA,854948,P50094
S000003609,JEM1,YJL073W,YJL073W_mRNA,YJL073W_mRNA,853372,P40358
S000000047,AIM2,YAL049C,YAL049C_mRNA,YAL049C_mRNA,851248,P39721
S000002726,CTF5,YDR318W,YDR318W_mRNA,YDR318W_mRNA,851916,Q06675
S000000014,FUN32,YAL016W,YAL016W_mRNA,YAL016W_mRNA,851217,P31383
S000004100,CCW12,YLR110C,YLR110C_mRNA,YLR110C_mRNA,850800,Q12127
S000003271,,,,,852930,
S000003965,APG10,YLL042C,YLL042C_mRNA,YLL042C_mRNA,850684,Q07879
S000002830,SIP1,YDR422C,YDR422C_mRNA,YDR422C_mRNA,852032,P32578
S000002642,LYS3,YDR234W,YDR234W_mRNA,YDR234W_mRNA,851820,P49367
S000001889,Rab family GTPase SEC4,YFL005W,YFL005W_mRNA,YFL005W_mRNA,850543,P07560
S000002511,SPO71,YDR104C,YDR104C_mRNA,YDR104C_mRNA,851681,Q03868
S000004982,IDH1,YNL037C,YNL037C_mRNA,YNL037C_mRNA,855691,P28834
S000006120,,YPL199C,YPL199C_mRNA,YPL199C_mRNA,855902,Q08954
S000001913,IGD1,YFR017C,YFR017C_mRNA,YFR017C_mRNA,850572,P43598
S000001380,RHO3,YIL118W,YIL118W_mRNA,YIL118W_mRNA,854688,Q00245
S000004547,putative cystathionine gamma-synthase,YML082W,YML082W_mRNA,YML082W_mRNA,854892,Q04533
S000000845,SAH1,YER043C,YER043C_mRNA,YER043C_mRNA,856766,P39954
S000003635,CHS6,YJL099W,YJL099W_mRNA,YJL099W_mRNA,853346,P40955
S000002509,,,,,851679,
S000002734,LAM2,YDR326C,YDR326C_mRNA,YDR326C_mRNA,851926,Q06681
S000003377,ENP2,YGR145W,YGR145W_mRNA,YGR145W_mRNA,853048,P48234
S000001171,ACT5,YHR129C,YHR129C_mRNA,YHR129C_mRNA,856530,P38696
S000000414,ERV15,YBR210W,YBR210W_mRNA,YBR210W_mRNA,852511,P38312
S000000264,ORC2,YBR060C,YBR060C_mRNA,YBR060C_mRNA,852352,P32833
S000003451,,,,,,
S000028421,HSK3,YKL138C-A,YKL138C-A_mRNA,YKL138C-A_mRNA,853719,P69852
S000006137,,YPL216W,YPL216W_mRNA,YPL216W_mRNA,855885,Q08964
S000004053,25S rRNA (uracil2843-N3)-methyltransferase,YLR063W,YLR063W_mRNA,YLR063W_mRNA,850752,Q12291
S000001314,L34B,YIL052C,YIL052C_mRNA,YIL052C_mRNA,854759,P40525
S000001465,YVH1,YIR026C,YIR026C_mRNA,YIR026C_mRNA,854844,Q02256
S000002845,GPI19,YDR437W,YDR437W_mRNA,YDR437W_mRNA,852047,Q04082
S000000314,ALG1,YBR110W,YBR110W_mRNA,YBR110W_mRNA,852407,P16661
S000002887,PEX29,YDR479C,YDR479C_mRNA,YDR479C_mRNA,852090,Q03370
S000004071,GAL2,YLR081W,YLR081W_mRNA,YLR081W_mRNA,850770,P13181
S000005849,ART1,YOR322C,YOR322C_mRNA,YOR322C_mRNA,854500,Q12502
S000003859,,YJR098C,YJR098C_mRNA,YJR098C_mRNA,853561,P47139
S000007269,ORF5,,,,,
S000001050,SOD2,YHR008C,YHR008C_mRNA,YHR008C_mRNA,856399,P00447
S000002789,RNA-binding protein YRA1,YDR381W,YDR381W_mRNA,YDR381W_mRNA,851988,Q12159
S000006250,MCM16,YPR046W,YPR046W_mRNA,YPR046W_mRNA,856159,Q12262
S000007224,GON5,YPL183W-A,YPL183W-A_mRNA,YPL183W-A_mRNA,855918,O14464
S000003480,6-phosphogluconolactonase SOL4,YGR248W,YGR248W_mRNA,YGR248W_mRNA,853163,P53315
S000002747,FCF1,YDR339C,YDR339C_mRNA,YDR339C_mRNA,851939,Q05498
S000002630,,YDR222W,YDR222W_mRNA,YDR222W_mRNA,851808,Q04925
S000002586,CSN9,YDR179C,YDR179C_mRNA,YDR179C_mRNA,851759,Q03981
S000004101,,,,,850801,
S000005913,PHR1,YOR386W,YOR386W_mRNA,YOR386W_mRNA,854568,P05066
S000000767,NADH/NAD(+) kinase,YEL041W,YEL041W_mRNA,YEL041W_mRNA,856670,P32622
S000001426,NIT1,YIL164C,YIL164C_mRNA,YIL164C_mRNA,854642,P40447
S000006386,SMX3,YPR182W,YPR182W_mRNA,YPR182W_mRNA,856312,P54999
S000003004,,YGL036W,YGL036W_mRNA,YGL036W_mRNA,852847,P53185
S000002180,DAR1,YDL022W,YDL022W_mRNA,YDL022W_mRNA,851539,Q00055
S000002407,COS7,YDL248W,YDL248W_mRNA,YDL248W_mRNA,851348,Q07788
S000002750,HXT7,YDR342C,YDR342C_mRNA,YDR342C_mRNA,851943,P39004
S000005469,ZEO1,YOL109W,YOL109W_mRNA,YOL109W_mRNA,854040,Q08245
S000001841,DAK2,YFL053W,YFL053W_mRNA,YFL053W_mRNA,850491,P43550
S000005276,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,YNL332W,YNL332W_mRNA,YNL332W_mRNA,855384,P42883
S000004143,ACS2,YLR153C,YLR153C_mRNA,YLR153C_mRNA,850846,P52910
S000003209,APC10,YGL240W,YGL240W_mRNA,YGL240W_mRNA,852611,P53068
S000001268,NAD+ transporter,YIL006W,YIL006W_mRNA,YIL006W_mRNA,854811,P40556
S000005034,RHO2,YNL090W,YNL090W_mRNA,YNL090W_mRNA,855634,P06781
S000007397,gag-pol fusion protein,,,,851851,Q07791
S000005387,MDM38,YOL027C,YOL027C_mRNA,YOL027C_mRNA,854130,Q08179
S000005424,CRT10,YOL063C,YOL063C_mRNA,YOL063C_mRNA,854091,Q08226
S000000113,PEP1,YBL017C,YBL017C_mRNA,YBL017C_mRNA,852264,P32319
S000000299,RAF60,YBR095C,YBR095C_mRNA,YBR095C_mRNA,852392,P38255
S000002392,MFG1,YDL233W,YDL233W_mRNA,YDL233W_mRNA,851365,Q07684
S000006045,LPH3,YPL124W,YPL124W_mRNA,YPL124W_mRNA,855979,P33419
S000002503,GIS1,YDR096W,YDR096W_mRNA,YDR096W_mRNA,851670,Q03833
S000003356,ASN2,YGR124W,YGR124W_mRNA,YGR124W_mRNA,853025,P49090
S000004278,RPS30A,YLR287C-A,YLR287C-A_mRNA,YLR287C-A_mRNA,850994,P0CX33
S000001250,S-adenosylmethionine-dependent methyltransferase,YHR207C,YHR207C_mRNA,YHR207C_mRNA,856614,P38890
S000001216,,YHR173C,YHR173C_mRNA,YHR173C_mRNA,856578,P38864
S000000783,SDD1,YEL057C,YEL057C_mRNA,YEL057C_mRNA,856653,P39983
S000005474,PTH4,YOL114C,YOL114C_mRNA,YOL114C_mRNA,854035,Q12322
S000003961,ENT4,YLL038C,YLL038C_mRNA,YLL038C_mRNA,850621,Q07872
S000001136,HOR4,YHR094C,YHR094C_mRNA,YHR094C_mRNA,856494,P32465
S000003589,GRD6,YJL053W,YJL053W_mRNA,YJL053W_mRNA,853393,P40335
S000004432,DSL3,YLR440C,YLR440C_mRNA,YLR440C_mRNA,851161,Q12745
S000000595,CDC10,YCR002C,YCR002C_mRNA,YCR002C_mRNA,850358,P25342
S000001161,KMT2,YHR119W,YHR119W_mRNA,YHR119W_mRNA,856519,P38827
S000000183,L14,YBL087C,YBL087C_mRNA,YBL087C_mRNA,852191,P0CX41
S000000228,SCO2,YBR024W,YBR024W_mRNA,YBR024W_mRNA,852312,P38072
S000001058,LSB4,YHR016C,YHR016C_mRNA,YHR016C_mRNA,856409,P32793
S000005390,"1,3-beta-glucanosyltransferase",YOL030W,YOL030W_mRNA,YOL030W_mRNA,854127,Q08193
S000003270,ORM1,YGR038W,YGR038W_mRNA,YGR038W_mRNA,852926,P53224
S000003649,gag-pol fusion protein,,,,853330,P47024
S000004216,BUR2,YLR226W,YLR226W_mRNA,YLR226W_mRNA,850923,Q05949
S000002746,,YDR338C,YDR338C_mRNA,YDR338C_mRNA,851938,Q05497
S000003880,JHD2,YJR119C,YJR119C_mRNA,YJR119C_mRNA,853583,P47156
S000001344,,,,,,
S000001163,LSM12,YHR121W,YHR121W_mRNA,YHR121W_mRNA,856521,P38828
S000005644,RTC5,YOR118W,YOR118W_mRNA,YOR118W_mRNA,854285,Q12108
S000005781,OSW1,YOR255W,YOR255W_mRNA,YOR255W_mRNA,854429,Q08692
S000002484,SED1,YDR077W,YDR077W_mRNA,YDR077W_mRNA,851649,Q01589
S000006232,YIP2,YPR028W,YPR028W_mRNA,YPR028W_mRNA,856140,Q12402
S000005757,MKK1,YOR231W,YOR231W_mRNA,YOR231W_mRNA,854406,P32490
S000006082,BEM4,YPL161C,YPL161C_mRNA,YPL161C_mRNA,855942,P39011
S000003053,LCL3,YGL085W,YGL085W_mRNA,YGL085W_mRNA,852795,P53153
S000003092,AUT12,YGL124C,YGL124C_mRNA,YGL124C_mRNA,852753,P53129
S000005917,FEX1,YOR390W,YOR390W_mRNA,YOR390W_mRNA,854572,Q08913
S000005186,APG2,YNL242W,YNL242W_mRNA,YNL242W_mRNA,855479,P53855
S000005072,TEP1,YNL128W,YNL128W_mRNA,YNL128W_mRNA,855595,P53916
S000002246,ASM4,YDL088C,YDL088C_mRNA,YDL088C_mRNA,851470,Q05166
S000002480,SNF11,YDR073W,YDR073W_mRNA,YDR073W_mRNA,851645,P38956
S000005472,MSB4,YOL112W,YOL112W_mRNA,YOL112W_mRNA,854037,Q12317
S000001111,RRP4,YHR069C,YHR069C_mRNA,YHR069C_mRNA,856466,P38792
S000003643,,YJL107C,YJL107C_mRNA,YJL107C_mRNA,853337,P42947
S000003364,PHB1,YGR132C,YGR132C_mRNA,YGR132C_mRNA,853033,P40961
S000003824,A12.2,YJR063W,YJR063W_mRNA,YJR063W_mRNA,853526,P32529
S000000754,,,,,856684,
S000006240,CLS11,YPR036W,YPR036W_mRNA,YPR036W_mRNA,856148,P41807
S000003873,MIND complex subunit NNF1,YJR112W,YJR112W_mRNA,YJR112W_mRNA,853576,P47149
S000005574,HKE1,YOR048C,YOR048C_mRNA,YOR048C_mRNA,854213,Q02792
S000000202,SNI2,YBL106C,YBL106C_mRNA,YBL106C_mRNA,852168,P38163
S000000064,COMPASS subunit protein SWD1,YAR003W,YAR003W_mRNA,YAR003W_mRNA,851265,P39706
S000005952,LDB15,YPL031C,YPL031C_mRNA,YPL031C_mRNA,856076,P17157
S000001909,IOC3,YFR013W,YFR013W_mRNA,YFR013W_mRNA,850567,P43596
S000028709,,YOL166W-A,YOL166W-A_mRNA,YOL166W-A_mRNA,1466472,Q8TGJ1
S000005765,ABP140,YOR239W,YOR239W_mRNA,YOR239W_mRNA,854414,Q08641
S000001836,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,YFL058W,YFL058W_mRNA,YFL058W_mRNA,850486,P43534
S000003241,HSS7,YGR009C,YGR009C_mRNA,YGR009C_mRNA,852892,P40357
S000002573,SEC5,YDR166C,YDR166C_mRNA,YDR166C_mRNA,851744,P89102
S000002188,PRP9,YDL030W,YDL030W_mRNA,YDL030W_mRNA,851531,P19736
S000003223,FZF1,YGL254W,YGL254W_mRNA,YGL254W_mRNA,852638,P32805
S000007345,gag-pol fusion protein,,,,851599,Q12472
S000001305,CBR1,YIL043C,YIL043C_mRNA,YIL043C_mRNA,854768,P38626
S000004856,OSR1,YMR243C,YMR243C_mRNA,YMR243C_mRNA,855284,P20107
S000005266,KRE1,YNL322C,YNL322C_mRNA,YNL322C_mRNA,855394,P17260
S000007262,AI2,Q0055,Q0055_mRNA,Q0055_mRNA,854594,P03876
S000001728,API3,YKR020W,YKR020W_mRNA,YKR020W_mRNA,853890,P36116
S000004651,CSM3,YMR048W,YMR048W_mRNA,YMR048W_mRNA,855067,Q04659
S000000327,TFC1,YBR123C,YBR123C_mRNA,YBR123C_mRNA,852421,P32367
S000005937,ADR6,YPL016W,YPL016W_mRNA,YPL016W_mRNA,856091,P09547
S000004097,REX3,YLR107W,YLR107W_mRNA,YLR107W_mRNA,850797,Q12090
S000002151,,YBL111C,YBL111C_mRNA,YBL111C_mRNA,852161,Q3E7Y5
S000005141,WHI3,YNL197C,YNL197C_mRNA,YNL197C_mRNA,855524,P34761
S000000532,FUS1,YCL027W,YCL027W_mRNA,YCL027W_mRNA,850330,P11710
S000000870,CCR4-NOT core ubiquitin-protein ligase subunit MOT2,YER068W,YER068W_mRNA,YER068W_mRNA,856799,P34909
S000028821,,,,,,
S000003326,VAS1,YGR094W,YGR094W_mRNA,YGR094W_mRNA,852986,P07806
S000005926,AEP3,YPL005W,YPL005W_mRNA,YPL005W_mRNA,856102,Q12089
S000007395,gag-pol fusion protein,,,,851852,Q07793
S000006253,ATG11,YPR049C,YPR049C_mRNA,YPR049C_mRNA,856162,Q12527
S000006041,APG6,YPL120W,YPL120W_mRNA,YPL120W_mRNA,855983,Q02948
S000004709,,,,,855129,
S000028812,,YOL038C-A,YOL038C-A_mRNA,YOL038C-A_mRNA,1466476,Q3E7Z9
S000002245,EPE1,YDL087C,YDL087C_mRNA,YDL087C_mRNA,851471,Q07508
S000002233,L31A,YDL075W,YDL075W_mRNA,YDL075W_mRNA,851484,P0C2H8
S000028832,,YHR050W-A,YHR050W-A_mRNA,YHR050W-A_mRNA,1466528,Q05451
S000005927,NCR1,YPL006W,YPL006W_mRNA,YPL006W_mRNA,856101,Q12200
S000005800,MOD5,YOR274W,YOR274W_mRNA,YOR274W_mRNA,854448,P07884
S000006090,MEX67,YPL169C,YPL169C_mRNA,YPL169C_mRNA,855934,Q99257
S000004675,TVP18,YMR071C,YMR071C_mRNA,YMR071C_mRNA,855093,Q04767
S000006108,MF(ALPHA)1,YPL187W,YPL187W_mRNA,YPL187W_mRNA,855914,P01149
S000003820,PTK2,YJR059W,YJR059W_mRNA,YJR059W_mRNA,853522,P47116
S000005548,DDL1,YOR022C,YOR022C_mRNA,YOR022C_mRNA,854187,Q12204
S000001538,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH),YKL055C,YKL055C_mRNA,YKL055C_mRNA,853810,P35731
S000003745,CBP1,YJL209W,YJL209W_mRNA,YJL209W_mRNA,853221,P07252
S000001251,BAT1,YHR208W,YHR208W_mRNA,YHR208W_mRNA,856615,P38891
S000028573,,YML054C-A,YML054C-A_mRNA,YML054C-A_mRNA,1466497,Q3E809
S000005264,,YNL320W,YNL320W_mRNA,YNL320W_mRNA,855396,P42840
S000000005,ERP2,YAL007C,YAL007C_mRNA,YAL007C_mRNA,851226,P39704
S000000050,ACS1,YAL054C,YAL054C_mRNA,YAL054C_mRNA,851245,Q01574
S000001635,GPM1,YKL152C,YKL152C_mRNA,YKL152C_mRNA,853705,P00950
S000001379,PRM5,YIL117C,YIL117C_mRNA,YIL117C_mRNA,854689,P40476
S000002741,RQC1,YDR333C,YDR333C_mRNA,YDR333C_mRNA,851933,Q05468
S000005011,L6,YNL067W,YNL067W_mRNA,YNL067W_mRNA,855658,P51401
S000001114,ERG7,YHR072W,YHR072W_mRNA,YHR072W_mRNA,856470,P38604
S000000956,OXA1,YER154W,YER154W_mRNA,YER154W_mRNA,856898,P39952
S000002281,SNA4,YDL123W,YDL123W_mRNA,YDL123W_mRNA,851434,Q07549
S000000662,E3 ubiquitin-protein ligase RAD18,YCR066W,YCR066W_mRNA,YCR066W_mRNA,850430,P10862
S000001917,ATG18,YFR021W,YFR021W_mRNA,YFR021W_mRNA,850577,P43601
S000005698,YRM1,YOR172W,YOR172W_mRNA,YOR172W_mRNA,854343,Q12340
S000003871,YMR1,YJR110W,YJR110W_mRNA,YJR110W_mRNA,853574,P47147
S000001192,SKG6,YHR149C,YHR149C_mRNA,YHR149C_mRNA,856554,P32900
S000000384,DTR1,YBR180W,YBR180W_mRNA,YBR180W_mRNA,852478,P38125
S000005846,HSH49,YOR319W,YOR319W_mRNA,YOR319W_mRNA,854497,Q99181
S000028643,,,,,,
S000003865,CRS4,YJR104C,YJR104C_mRNA,YJR104C_mRNA,853568,P00445
S000005081,MNA6,YNL137C,YNL137C_mRNA,YNL137C_mRNA,855585,P27929
S000000898,SHC1,YER096W,YER096W_mRNA,YER096W_mRNA,856832,P39000
S000005135,DUG3,YNL191W,YNL191W_mRNA,YNL191W_mRNA,855530,P53871
S000002413,SOK1,YDR006C,YDR006C_mRNA,YDR006C_mRNA,851569,P40317
S000001881,IES1,YFL013C,YFL013C_mRNA,YFL013C_mRNA,850534,P43579
S000006341,RRP9,YPR137W,YPR137W_mRNA,YPR137W_mRNA,856255,Q06506
S000006192,ATP15,YPL271W,YPL271W_mRNA,YPL271W_mRNA,855857,P21306
S000005330,FPK1,YNR047W,YNR047W_mRNA,YNR047W_mRNA,855783,P53739
S000001271,FAA3,YIL009W,YIL009W_mRNA,YIL009W_mRNA,854808,P39002
S000001019,RIM1,YHL027W,YHL027W_mRNA,YHL027W_mRNA,856358,P33400
S000000442,,YBR238C,YBR238C_mRNA,YBR238C_mRNA,852540,P38330
