SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000000554,,YCL049C,YCL049C_mRNA,YCL049C_mRNA,850308,P25577
S000003759,PAU1,YIL176C,YIL176C_mRNA,YIL176C_mRNA,853232,P0CE88
S000002665,RKM4,YDR257C,YDR257C_mRNA,YDR257C_mRNA,851844,Q12504
S000004966,HDA1,YNL021W,YNL021W_mRNA,YNL021W_mRNA,855710,P53973
S000002989,ALK1,YGL021W,YGL021W_mRNA,YGL021W_mRNA,852863,P43633
S000000024,DRS2,YAL026C,YAL026C_mRNA,YAL026C_mRNA,851207,P39524
S000005443,ATG19-B,YOL083W,YOL083W_mRNA,YOL083W_mRNA,854071,Q12292
S000001409,SLN1,YIL147C,YIL147C_mRNA,YIL147C_mRNA,854659,P39928
S000004944,PAU19,YMR325W,YMR325W_mRNA,YMR325W_mRNA,855375,P0CE85
S000002388,Hsp70 family ATPase SSB1,YDL229W,YDL229W_mRNA,YDL229W_mRNA,851369,P11484
S000004714,ILV2,YMR108W,YMR108W_mRNA,YMR108W_mRNA,855135,P07342
S000000963,EXA1,YER161C,YER161C_mRNA,YER161C_mRNA,856908,P06843
S000003162,HOS2,YGL194C,YGL194C_mRNA,YGL194C_mRNA,852681,P53096
S000005226,POP3,YNL282W,YNL282W_mRNA,YNL282W_mRNA,855439,P53833
S000001774,CCP1,YKR066C,YKR066C_mRNA,YKR066C_mRNA,853940,P00431
S000000371,POP7,YBR167C,YBR167C_mRNA,YBR167C_mRNA,852465,P38291
S000003866,ADO1,YJR105W,YJR105W_mRNA,YJR105W_mRNA,853569,P47143
S000004773,INP2,YMR163C,YMR163C_mRNA,YMR163C_mRNA,855198,Q03824
S000000261,MUM2,YBR057C,YBR057C_mRNA,YBR057C_mRNA,852348,P38236
S000000517,GBP2,YCL011C,YCL011C_mRNA,YCL011C_mRNA,850346,P25555
S000002505,GRX3,YDR098C,YDR098C_mRNA,YDR098C_mRNA,851672,Q03835
S000003005,PNC1,YGL037C,YGL037C_mRNA,YGL037C_mRNA,852846,P53184
S000005248,Rab family GTPase YPT11,YNL304W,YNL304W_mRNA,YNL304W_mRNA,855412,P48559
S000002520,PDS1,YDR113C,YDR113C_mRNA,YDR113C_mRNA,851691,P40316
S000005502,MTR14,YOL142W,YOL142W_mRNA,YOL142W_mRNA,854023,Q08285
S000004595,ERG13,YML126C,YML126C_mRNA,YML126C_mRNA,854913,P54839
S000000119,MCM DNA helicase complex subunit MCM2,YBL023C,YBL023C_mRNA,YBL023C_mRNA,852258,P29469
S000002999,L24A,YGL031C,YGL031C_mRNA,YGL031C_mRNA,852852,P04449
S000001555,STB6,YKL072W,YKL072W_mRNA,YKL072W_mRNA,853790,P36085
S000006167,RBD2,YPL246C,YPL246C_mRNA,YPL246C_mRNA,855830,Q12270
S000002341,LYS20,YDL182W,YDL182W_mRNA,YDL182W_mRNA,851346,P48570
S000004355,NMD4,YLR363C,YLR363C_mRNA,YLR363C_mRNA,851077,Q12129
S000004006,PML1,YLR016C,YLR016C_mRNA,YLR016C_mRNA,850703,Q07930
S000000521,DCC1,YCL016C,YCL016C_mRNA,YCL016C_mRNA,850344,P25559
S000007616,,YKL106C-A,YKL106C-A_mRNA,YKL106C-A_mRNA,853754,Q3E7A0
S000005864,TEA1,YOR337W,YOR337W_mRNA,YOR337W_mRNA,854515,P47988
S000004072,SRL2,YLR082C,YLR082C_mRNA,YLR082C_mRNA,850771,Q12020
S000002437,RAD28,YDR030C,YDR030C_mRNA,YDR030C_mRNA,851594,Q12021
S000002133,AUP1,YCR079W,YCR079W_mRNA,YCR079W_mRNA,850441,P25646
S000002376,TIM22,YDL217C,YDL217C_mRNA,YDL217C_mRNA,851309,Q12328
S000007271,BI2,Q0110,Q0110_mRNA,Q0110_mRNA,854604,P03873
S000000597,YCP4,YCR004C,YCR004C_mRNA,YCR004C_mRNA,850360,P25349
S000004295,ACO1,YLR304C,YLR304C_mRNA,YLR304C_mRNA,851013,P19414
S000000063,FG-nucleoporin NUP60,YAR002W,YAR002W_mRNA,YAR002W_mRNA,851263,P39705
S000007588,,YDL085C-A,YDL085C-A_mRNA,YDL085C-A_mRNA,851473,Q3E7B7
S000005145,PSY2,YNL201C,YNL201C_mRNA,YNL201C_mRNA,855520,P40164
S000000671,ERS1,YCR075C,YCR075C_mRNA,YCR075C_mRNA,850438,P17261
S000002571,SEC1,YDR164C,YDR164C_mRNA,YDR164C_mRNA,851742,P30619
S000003853,FIP1,YJR093C,YJR093C_mRNA,YJR093C_mRNA,853555,P45976
S000002350,L29,YDL136W,YDL136W_mRNA,YDL136W_mRNA,851336,P0CX84
S000001069,HRD2,YHR027C,YHR027C_mRNA,YHR027C_mRNA,856422,P38764
S000005364,CPE1,YOL004W,YOL004W_mRNA,YOL004W_mRNA,854158,P22579
S000004977,OCA3,YNL032W,YNL032W_mRNA,YNL032W_mRNA,855699,P53965
S000002581,HMO1,YDR174W,YDR174W_mRNA,YDR174W_mRNA,851754,Q03973
S000002268,ADC17,YDL110C,YDL110C_mRNA,YDL110C_mRNA,851448,Q12513
S000028587,,YOR381W-A,YOR381W-A_mRNA,YOR381W-A_mRNA,1466489,Q3E804
S000003012,RNA15,YGL044C,YGL044C_mRNA,YGL044C_mRNA,852838,P25299
S000001105,2-dehydropantoate 2-reductase PAN5,YHR063C,YHR063C_mRNA,YHR063C_mRNA,856460,P38787
S000005972,ARL3,YPL051W,YPL051W_mRNA,YPL051W_mRNA,856056,Q02804
S000002971,CDH1,YGL003C,YGL003C_mRNA,YGL003C_mRNA,852881,P53197
S000001644,KDX1,YKL161C,YKL161C_mRNA,YKL161C_mRNA,853696,P36005
S000004725,ASI1,YMR119W,YMR119W_mRNA,YMR119W_mRNA,855147,P54074
S000003721,ATG36,YJL185C,YJL185C_mRNA,YJL185C_mRNA,853254,P46983
S000001560,,YKL077W,YKL077W_mRNA,YKL077W_mRNA,853785,P36081
S000004538,L17A,YML073C,YML073C_mRNA,YML073C_mRNA,854902,Q02326
S000004391,BDF1,YLR399C,YLR399C_mRNA,YLR399C_mRNA,851115,P35817
S000002406,MPH2,YDL247W,YDL247W_mRNA,YDL247W_mRNA,851350,P0CD99
S000005217,TOF1,YNL273W,YNL273W_mRNA,YNL273W_mRNA,855448,P53840
S000002171,HEX3,YDL013W,YDL013W_mRNA,YDL013W_mRNA,851549,P32828
S000000815,DEAH-box ATP-dependent RNA helicase PRP22,YER013W,YER013W_mRNA,YER013W_mRNA,856732,P24384
S000005648,CLS5,YOR122C,YOR122C_mRNA,YOR122C_mRNA,854289,P07274
S000000979,14-3-3 family protein BMH1,YER177W,YER177W_mRNA,YER177W_mRNA,856924,P29311
S000000106,,YBL010C,YBL010C_mRNA,YBL010C_mRNA,852273,P32788
S000004183,UPS1,YLR193C,YLR193C_mRNA,YLR193C_mRNA,850890,Q05776
S000004227,THI10,YLR237W,YLR237W_mRNA,YLR237W_mRNA,850938,Q05998
S000003620,ALY2,YJL084C,YJL084C_mRNA,YJL084C_mRNA,853361,P47029
S000005632,PTH1,YOR106W,YOR106W_mRNA,YOR106W_mRNA,854273,Q12241
S000000265,TRM7,YBR061C,YBR061C_mRNA,YBR061C_mRNA,852353,P38238
S000001729,ALY1,YKR021W,YKR021W_mRNA,YKR021W_mRNA,853891,P36117
S000005603,RTS2,YOR077W,YOR077W_mRNA,YOR077W_mRNA,854244,P40962
S000000953,BLM3,YER151C,YER151C_mRNA,YER151C_mRNA,856895,Q01477
S000000325,GRS1,,,,852418,P38088
S000004009,PSR2,YLR019W,YLR019W_mRNA,YLR019W_mRNA,850706,Q07949
S000004063,RFU1,YLR073C,YLR073C_mRNA,YLR073C_mRNA,850762,Q08003
S000003032,ATP-dependent RNA helicase,YGL064C,YGL064C_mRNA,YGL064C_mRNA,852816,P53166
S000006361,TDA6,YPR157W,YPR157W_mRNA,YPR157W_mRNA,856280,Q06466
S000004616,BUD22,YMR014W,YMR014W_mRNA,YMR014W_mRNA,855028,Q04347
S000028820,,,,,,
S000000530,AGP1,YCL025C,YCL025C_mRNA,YCL025C_mRNA,850333,P25376
S000001814,GEX2,YKR106W,YKR106W_mRNA,YKR106W_mRNA,853981,P36173
S000006003,BTAF1,YPL082C,YPL082C_mRNA,YPL082C_mRNA,856023,P32333
S000005014,MOM7,YNL070W,YNL070W_mRNA,YNL070W_mRNA,855654,P53507
S000006098,CUP9,YPL177C,YPL177C_mRNA,YPL177C_mRNA,855926,P41817
S000003282,,YGR050C,YGR050C_mRNA,YGR050C_mRNA,852941,P53231
S000087160,,YGL194C-A,YGL194C-A_mRNA,YGL194C-A_mRNA,3799973,Q2V2P6
S000002914,GMC1,YDR506C,YDR506C_mRNA,YDR506C_mRNA,852117,Q04399
S000005487,L23,YOL127W,YOL127W_mRNA,YOL127W_mRNA,853993,P04456
S000004411,putative helicase,YLR419W,YLR419W_mRNA,YLR419W_mRNA,851137,Q06698
S000004692,SEG1,YMR086W,YMR086W_mRNA,YMR086W_mRNA,855110,Q04279
S000028811,YOL013W-B,YOL013W-A,YOL013W-A_mRNA,YOL013W-A_mRNA,854147,P0C272
S000004965,ARK1,YNL020C,YNL020C_mRNA,YNL020C_mRNA,855711,P53974
S000003911,CCW13,YJR150C,YJR150C_mRNA,YJR150C_mRNA,853615,P47178
S000002212,MCH1,YDL054C,YDL054C_mRNA,YDL054C_mRNA,851506,Q07376
S000005561,DIM1,YOR035C,YOR035C_mRNA,YOR035C_mRNA,854200,P51534
S000003584,CUI2,YJL048C,YJL048C_mRNA,YJL048C_mRNA,853399,P47049
S000004932,,YMR315W,YMR315W_mRNA,YMR315W_mRNA,855363,Q04869
S000007232,AIS2,YDL130W-A,YDL130W-A_mRNA,YDL130W-A_mRNA,851426,P01098
S000004926,NIP1,YMR309C,YMR309C_mRNA,YMR309C_mRNA,855357,P32497
S000005822,,YOR296W,YOR296W_mRNA,YOR296W_mRNA,854471,Q08748
S000003412,CRT3,YGR180C,YGR180C_mRNA,YGR180C_mRNA,853091,P49723
S000004588,,YML119W,YML119W_mRNA,YML119W_mRNA,854920,Q03208
S000000021,FUN25,YAL023C,YAL023C_mRNA,YAL023C_mRNA,851210,P31382
S000005200,FOL1,YNL256W,YNL256W_mRNA,YNL256W_mRNA,855465,P53848
S000006306,L11A,YPR102C,YPR102C_mRNA,YPR102C_mRNA,856217,P0C0W9
S000003860,YUH1,YJR099W,YJR099W_mRNA,YJR099W_mRNA,853562,P35127
S000000356,SPP381,YBR152W,YBR152W_mRNA,YBR152W_mRNA,852449,P38282
S000003717,RBH1,YJL181W,YJL181W_mRNA,YJL181W_mRNA,853257,P46987
S000006060,UME1,YPL139C,YPL139C_mRNA,YPL139C_mRNA,855964,Q03010
S000028598,YBL101W-C,YBL100W-C,YBL100W-C_mRNA,YBL100W-C_mRNA,1466439,P0C269
S000000287,ROC1,YBR083W,YBR083W_mRNA,YBR083W_mRNA,852377,P18412
S000005825,BUD7,YOR299W,YOR299W_mRNA,YOR299W_mRNA,854475,Q08754
S000001498,PUT3,YKL015W,YKL015W_mRNA,YKL015W_mRNA,853854,P25502
